I tê	You're small
A suh	Don't be mad
A hua	He is hated
A daw	He is lying
A tha	He's good
A huh	He's wet
Ka bo	I am lost
Ka bu	I dozed
Ka bo	I lost
Ka a.	I'm mad.
A zo!	It's done!
A tha	It's good
A ṭha	It's good
A reh	It's quiet
A huh	That's wet
I bal	You're dirty
I upa	You're old
Ar ril	Chicken small intestine
Au suh	Don't shout
Ei ang	Eat it
Ke uih	Foot odour
A buai	He is busy
A bang	He resigned
A bâng	He resigned
A nui.	He smiled.
A ding	He stood up
A buai	He was busy
Ka kun	I bowed
Ka bum	I cheated
Ka nui	I cheered
Ka tap	I cried
Ka bu.	I dozed.
Ka hua	I hated it
Ka kal	I left
Ka bo.	I lost.
Ka thu	I sat down
Ka hmu	I see
Ka duh	I want
Ka vai	I waved
Ka ham	I yawned
Ka te.	I'm small.
Ka tap	I'm sober
Ka a a	I'm stupid
Ka sa.	I'm warm.
A thi.	It's dead.
A zo e	It's done
A dik.	It's fair.
A tha.	It's fine.
A har.	It's hard.
A tang	It's stuck
A lum.	It's warm.
A tap.	She cried.
A buai	She's busy
An bum	They cheat
An bo.	They lost.
An him	They're safe
Zun im	Urinary retention
Kan bo	We're lost
I tlai	You are late
I ti a	You were saying
I lian	You're big
I sual	You're cruel
I mawl	You're mad
I nalh	You're smart
I tang	You're stuck
I tâng	You're stuck
I a em?	Are you mad?
Che suh	Be still
Ar bawp	Chicken drumstick
Ti rawh	Do it
Rei suh	Don't be long
Bum suh	Don't cheat
Zep suh	Don't deny it
Ti suh!	Don't do it!
Ti suh!	Don't do it!
Pek suh	Don't give it away
Lut suh	Don't go in
Lût suh	Don't go in
Nui suh	Don't laugh
En suh.	Don't look.
Che suh	Don't move
Nui suh	Don't smile
Kal bo!	Go away!
Ei rawh	Have a taste
Na a ti	He feels hurt
Nâ a ti	He feels hurt
A bum a	He fooled her
D a hmu	He got a D
A damlo	He is ill
A tlai.	He is late.
A tlan.	He ran.
A diklo	He was wrong
A sang.	He's tall.
Ka hlau	I am afraid
Ka buai	I am busy
Ka buai	I am busy
Ka puar	I am full
Ka sang	I am tall
Ka kun.	I bowed.
Ka bum.	I cheated.
Ka nui.	I cheered.
Ka beng	I clapped
Ka khuh	I coughed
Ka tap.	I cried.
Ka chau	I feel weak
Ka pe a	I gave him a slap
Ka thau	I got fat
Ka hlau	I got scared
Ka hua.	I hated it.
Ka thui	I knit
Ka hria	I know
Ka kal.	I left.
Ka bang	I quit
Kan tuk	I really enjoying breakfast.
Ka zuai	I relented
Ka zuai	I relented
Ka bang	I resign
Ka bang	I resigned
Ka hmu.	I see.
Ka au a	I shouted
Ka au a	I shouted
